acousticness,album,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,playlist,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0.0526,Red Hot + Riot,Various Artists,0.459,422933,0.869,0.446,10,0.167,-9.134,0,Afrobeats 2011,0.0,0.0922,115.019,4,6wtyvxqCqi1ojcQq2o39OC,Gentleman,0.521
0.436,Anthology 2,Fela Kuti,0.785,870080,0.884,0.276,2,0.364,-7.694,1,Afrobeats 2011,0.0,0.207,101.67,4,1nWMlWOVQbLvaIUHadG9Vc,Kalakuta Show,0.262
0.277,Government Magic,Antibalas,0.872,247760,0.91,5.13e-05,10,0.0589,-5.115,0,Afrobeats 2011,29.0,0.233,110.327,4,5KaNVtMkaanRibXwdM7qqb,Che Che Cole,0.592
0.496,No Compromise,Femi Abosede,0.569,246293,0.796,0.277,0,0.123,-6.024,0,Afrobeats 2011,0.0,0.0747,107.998,4,6rni76KdcXANH2nzCYNKVS,Nigerian Goverment (instrumental),0.822
0.325,Echoes of Afrikan Nations Vol. 18,Choppa,0.732,290296,0.803,5.29e-05,11,0.126,-5.112,0,Afrobeats 2011,0.0,0.086,92.951,4,5E8G3MzofqDGt9EDeRLRiL,Mr President,0.886
0.414,Fight To Win,Femi Anikulapo Kuti,0.695,438733,0.793,3.53e-06,8,0.192,-6.78,1,Afrobeats 2011,0.0,0.156,136.563,3,7uKUa25nIuvgNUmlMFgZgZ,Eko Lagos,0.731
0.134,The Gig Is On,Lubriphonic,0.555,301693,0.963,0.141,4,0.099,-4.067,0,Afrobeats 2011,0.0,0.102,113.976,4,2rrjCb45ltA4a47GM8gLjJ,The Chicken is Worth More Alive Than Dead,0.93
0.587,More Consideration,Kokolo,0.91,316666,0.74,0.00619,5,0.115,-7.699,0,Afrobeats 2011,0.0,0.0649,112.034,4,1pudNYeTaZGpA3pkKX3VC6,Trouble Come Trouble Go,0.963
0.682,Soup,Euforquestra,0.737,359573,0.575,0.00159,4,0.0984,-8.944,0,Afrobeats 2011,5.0,0.0545,163.929,4,57kamBE6Jd10jFvxpUs1tV,The Events of December 11,0.936
0.469,Manifest Tone Vol.1,Chico Mann,0.693,377000,0.846,0.25,9,0.096,-7.794,0,Afrobeats 2011,0.0,0.0313,123.49,4,62jIiheRVoMsV0X2uu81SD,Soul Freedom,0.983
